Cc,Sucursal,GRABADOR,ALARMA,CONTROL,SINCROBACK
1947,Acanchen Yucatan,192.169.2.146,192.169.2.153,192.168.2.154,192.168.2.155
1228,Paso del Macho,192.169.1.18,192.169.1.25,192.169.1.26,192.169.1.27
1353,Calvillo IMSS,192.168.231.34,192.168.231.41,192.168.231.42,192.168.231.43
2158,Chenalho,192.168.233.50,192.168.233.57,192.168.233.58,192.168.233.59
2199,Santos Reyes Nopala,192.168.244.98,192.168.244.105,192.168.244.106,192.168.244.107
1409,El Saucito,192.168.251.146,192.168.251.153,192.168.251.154,192.168.251.155
1470,Cordoba,192.169.1.130,192.169.1.137,192.168.1.138,192.168.1.139
1839,Ciudad General Teran,192.168.243.226,192.168.243.233,192.168.243.233,192.168.243.234
1287,Juan josé Rios,192.168.252.66,192.168.252.73,192.168.252.74,192.168.252.75
1172, Atlapexco,192.168.240.194,192.168.240.201,192.168.240.202,192.168.240.203
2224,Las Chopas Tancochapa,192.168.254.146,192.168.254.153,192.168.254.154,192.168.254.155
1417,Juamave Contadora,192.168.253.130,192.168.253.137,192.168.253.138,192.168.253.139
2171,Paredon Chiapas,192.168.232.226,192.168.232.233,192.168.232.234,192.168.232.235
1518,San Fernando Tamaulipas,192.168.253.146,192.168.253.153,192.168.253.154,192.168.253.155
1246,Penjamo SADER,192.168.238.242,192.168.238.249,192.168.238.250,192.168.238.251
1431,Temozon,192.169.2.194,192.169.2.201,192.168.2.202,192.168.2.203
1110,Allende IMSS,192.168.226.50,192.168.226.57,192.168.226.58,192.168.226.59
1468,Xicotencatl IMPI, 192.168.230.18 ,192.168.230.25,192.168.230.26,192.168.230.27
1893,San Nicolas Buenos Aires,192.168.248.210,192.168.248.217,192.168.248.18,192.168.248.19
1245,Irapuato SADER,192.168.238.194,192.168.238.201,192.168.238.202,192.168.238.203
1249,Ensenada SAT,192.168.231.82,192.168.231.89,192.168.231.90,192.168.231.91
1917,San Lucas Tecopilco,192.168.254.2,192.168.254.9,192.168.254.10,192.168.254.11
1932,Macayapan,192.169.0.98,192.169.0.105,192.169.0.106,192.169.0.107
1464,Puerto Escindido,192.168.248.50,192.168.248.57,192.168.248.58,192.168.248.59
1367,Zapotlan del Rey,192.168.242.50,192.168.242.57,192.168.242.58,192.168.242.59
1721,Tanlajas ,192.168.251.130,192.168.251.137,192.168.251.138,192.168.251.139
2177,Cuahutemoc Chiapas,192.168.232.210,192.168.232.217,192.168.232.218,192.168.232.219
2116,Gral. Lazaro Cardenas,192.168.253.66,192.168.253.73,192.168.253.74,192.168.253.75
1116,Ixtlahuacan de los Membrillos,192.168.226.114,192.168.226.121,192.168.226.122,192.168.226.123
1852,SAN CRISTOBAL AMATLAN,192.168.245.194,192.168.245.201,192.168.245.202,192.168.245.203
1433,TIZIMIN,192.169.2.226,192.169.2.233,192.169.2.234,192.169.2.235
1593,Franciscon Sarabia,192.168.234.66,192.168.234.73,192.168.234.74,192.168.234.75
1822,Pastor Ortiz,192.168.242.98,192.168.242.105,192.168.242.106,192.168.242.107
2225,El Laurel,192.168.254.130,192.168.254.137,192.168.254.138,192.168.254.139
1362,Ciudad Armeira,192.168.236.50,192.168.236.57,192.168.236.58,192.168.236.59
1174,Huejotzingo Los Zauces,192.168.240.210,192.168.240.217,192.168.245.194,192.168.245.195
1594,Solayo Cabecera,192.168.234.50,192.168.234.57,192.168.234.58,192.168.234.59
1360,Guerrero Chihuahua,192.168.230.50,192.168.230.57,192.168.230.58,192.168.230.59
1520,Lomas de Barrillas,192.168.254.226,192.168.254.232,192.168.254.233,192.168.254.234
1173,Huejutla de Reyes,192.168.241.50,192.168.241.57,192.168.241.58,192.168.241.59
1279,Villa Union,192.168.236.194,192.168.236.201,192.168.236.202,192.168.236.203
1515,Carrillo Puerto SCT,192.168.251.50,192.168.251.57,192.168.251.58,192.168.251.59
1336,Ticul Via Muna,192.169.2.210,192.169.2.217,192.169.2.218,192.169.2.219
1151,Cardenas SADER,192.168.228.210,192.168.228.217,192.168.228.218,192.168.228.219
1862,Huixtepec,192.168.245.66,192.168.245.73,192.168.245.74,192.168.245.75
1713,San Miguel Canoa,192.168.250.82,192.168.250.89,192.168.250.90,192.168.250.91
1205,San Juan del Rio,192.168.251.2,192.168.251.9,192.168.251.10,192.168.251.11
1987,Gran Morelos,192.168.235.50,192.168.235.57,192.168.235.58,192.168.235.59
1514,Chetumal SCT,192.168.251.66,192.168.251.73,192.168.251.74,192.168.251.75
2089,Donaji ,192.168.246.50,192.168.246.57,192.168.246.58,192.168.246.59
1550,Macuspana,192.168.253.98,192.168.253.105,192.168.253.104,192.168.253.105
1343,Parque Villa Juarez,192.168.231.18,192.168.231.25,192.168.231.26,192.168.231.27
1739,Tacoalache,192.169.3.82,192.169.3.89,192.169.3.90,192.169.3.91
2226,Angel R. Cabada,192.168.254.114,192.168.254.121,192.168.254.122,192.168.254.123
2149,Yaxcaba,192.169.1.162,192.169.1.169,192.169.1.180,192.169.1.181
2138,Hocaba,192.169.2.50,192.169.2.57,192.169.2.58,192.169.2.59
1467,Soto la Mariana,192.168.253.162,192.168.253.169,192.168.253.170,192.168.253.171
1845,Santa Lusia del Camino,192.168.248.34,192.168.248.41,192.168.248.42,192.168.248.43
1583,Huitiupan,192.168.234.82,192.168.234.89,192.168.234.90,192.168.234.91
1928,Coacotla,192.169.0.178,192.169.0.185,192.168.0.186,192.168.0.187
1843,Cruz Blanca,192.168.246.98,192.168.246.105,192.168.246.106,192.168.246.107
1875,Magdalena Apasco,192.168.246.82,192.168.246.89,192.168.246.90,192.168.246.91
1516,Estación Bamoa,192.168.252.50,192.168.252.57,192.168.252.58,192.168.252.59
1283,Suchil,192.168.236.210,192.168.236.217,192.168.236.218,192.168.236.219
1605,Guelatao de Juarez,192.168.247.2,192.168.247.9,192.168.247.10,192.168.247.11
1490,Colotlan,192.168.241.130,192.168.241.137,192.168.241.138,192.168.241.139
1857,Texmelucan,192.168.245.98,192.168.245.105,192.168.245.106,192.168.245.107
1618,Cuencame de Ceniceros,192.168.236.242,192.168.236.249,192.168.236.250,192.168.236.251
1666,San Felipe Jalapa de Diaz,192.168.247.130,192.168.247.137,192.168.247.138,192.168.247.139
2189,San Antonino,192.168.244.82,192.168.244.89,192.168.244.90,192.168.244.91
1227,Carrillo Puerto,192.168.254.210,192.168.254.217,192.169.254.218,192.169.254.219
1406,Chihuitan,192.168.246.18,192.168.246.25,192.168.246.26,192.168.246.27
1513,Bacalar Centro,192.168.251.34,192.168.251.41,192.168.251.42,192.168.251.43
1120,COAHUAYANA DE HIDALGO,192.168.226.194,192.168.226.201,192.168.226.202,192.168.226.203
1476,Mexicali Ejido,192.168.231.162,192.168.231.169,192.168.231.170,192.168.231.171
1925,Nopaltepec,192.169.0.66,192.169.0.73,192.168.0.74,192.168.0.75
1938,Omealca ,192.169.1.50,192.169.1.57,192.169.1.58,192.169.1.59
1210,Villa de Reyes Nuevo,192.168.230.2,192.168.230.9,192.168.230.10,192.168.230.11
1224,Morelia Periferico,192.168.242.226,192.168.242.233,192.168.242.234,192.168.242.235
1361,Madero,192.168.235.226,192.168.235.233,192.168.235.234,192.168.235.235
1988,Ocampo  Basaseachi,192.168.235.66,192.168.235.73,192.168.235.74,192.168.235.75
1461,Anahuac,192.168.244.34,192.168.244.41,192.168.244.42,192.168.244.43
1292,PORFIRIO DIAZ,192.168.247.226,192.168.247.233,192.168.247.234,192.168.247.235
1941,Morelos,192.169.0.34,192.169.0.41,192.169.0.42,192.169.0.43
1801,Xalpatlahuac,192.168.239.194,192.168.239.201,192.168.239.202,192.168.239.203
1953,Calera,192.169.3.66,192.169.3.73,192.169.3.74,192.169.3.75
2227,TATAHUICAPAN,192.168.254.98,192.168.254.105,192.168.254.106,192.168.254.107
1338,León Villas San Juan,192.168.239.98,192.168.239.105,192.168.239.106,192.168.239.107
1411,El Carrizo Ahome,192.168.251.242,192.168.251.249,192.168.251.250,192.168.251.251
1939,Loma Grande ,192.169.0.114,192.169.0.121,192.169.0.122,192.169.0.123
1837,Temoac ,192.168.243.18,192.168.243.25,192.168.243.26,192.168.243.27
2211,Hidalgotitlan,192.168.254.162,192.168.254.169,192.168.254.170,192.168.254.171
1864,SAN PEDRO AMUZGOS OAXACA,192.168.245.50,192.168.245.57,192.168.245.58,192.168.245.59
1487,SAN DIEGO DE LA UNION NUEVO,192.168.239.18,192.168.239.25,192.168.239.26,192.168.239.27
1874,ASTATA,192.168.244.226,192.168.244.233,192.168.244.234,192.168.244.235
1335,OXKUTZCAB YUCATAN,192.169.2.178,192.168.2.185,192.169.2.186,192.169.2.187
1736,ZIHUATANEJO DE AZUETA,192.168.240.146,192.168.240.153,192.168.240.154,192.168.240.155
1384,Sabinas,192.168.236.18,192.168.236.25,192.168.236.26,192.168.236.27
1948,Celestun,192.169.2.114,192.169.2.121,192.169.2.122,192.169.2.123
2168,RAYMUNDO ENRIQUEZ CHIAPAS,192.168.233.2,192.168.233.9,192.168.233.10,192.168.233.11
1214,SINALOA DE LEYVA,192.168.252.114,192.168.252.121,192.168.252.122,192.168.252.123
1133,"VILLA FLORES, ISSSTE",192.168.227.178,192.168.227.185,192.168.227.186,192.168.227.187
1661,YATARENI,192.168.248.82,192.168.248.89,192.168.248.90,192.168.248.91
1802,XOCHIHUEHUETLAN,192.168.239.162,192.168.239.169,192.168.239.170,192.168.239.171
1355,CEDRAL CETIS,192.168.230.178,192.168.230.185,192.168.230.186,192.168.230.187
1232,Colima SCT,192.168.236.66,192.168.236.73,192.168.236.74,192.168.236.75
1759,MEZQUITAL,192.168.236.178,192.168.236.185,192.168.236.186,192.168.236.187
1949,KINCHIL,192.169.2.34,192.169.2.41,192.169.2.42,192.169.2.43
2036,POTREROS,192.168.238.146,192.168.238.153,192.168.238.154,192.168.238.155
1705,TECPAN DE GALEANA,192.168.240.18,192.168.240.25,192.168.240.26,192.168.240.27
1171,VILLA DE ALVAREZ,192.168.236.130,192.168.236.137,192.168.236.138,192.168.236.139
2212,HUEYAPAN VERACRUZ,192.168.254.178,192.168.254.185,192.168.254.186,192.168.254.187
1148,"CHOIX, TELECOM",192.168.228.162,192.168.228.169,192.168.228.170,192.168.228.171
1178,Ojuelos,192.168.241.178,192.168.241.185,192.168.241.186,192.168.241.187
1282,Sta. Clara Durango,192.168.236.162,192.168.236.169,192.168.236.170,192.168.236.171
1136,Yahualica ,192.168.227.226,192.168.227.233,192.168.227.234,192.168.227.235
1253,Tijuana,192.168.231.178,192.168.231.185,192.168.231.186,192.168.231.187
1527,Palenque CBTA,192.168.234.162,192.168.234.169,192.168.234.170,192.168.234.171
2145,Telchac,192.169.1.226,192.169.1.233,192.169.1.234,192.169.1.235
1132,Tuxtla Gutierrez ISSSTE,192.168.227.162,192.168.227.169,192.168.227.170,192.168.227.171
1385,Empalme Escobedo,192.168.238.178,192.168.238.185,192.168.238.185,192.168.238.186
1629,Nazareno,192.168.248.98,192.168.248.105,192.168.248.106,192.168.248.107
2191,Jicayan,192.168.244.146,192.168.244.153,192.168.244.154,192.168.244.155
2162,Rincon Chamula,192.168.233.18,192.168.233.25,192.168.233.26,192.168.233.27
1328,Frontera Hidalgo,192.168.233.130,192.168.233.137,192.168.233.138,192.168.233.139
2134,Cansahcab,192.169.2.130,192.169.2.137,192.169.2.138,192.169.2.139
1539,Talpa de Allende,192.168.242.18,192.168.242.25,192.168.242.26,192.168.242.27
1955,Gral. Enrique Estrada,192.169.20.18,192.169.20.25,192.169.20.26,192.169.20.27
1954,Cañitas,192.169.3.50,192.169.3.57,192.169.3.58,192.169.3.59
1964,Sain Alto,192.169.3.18,192.169.3.25,192.169.3.26,192.169.3.27
1951,Teya,192.169.1.194,192.169.1.201,192.169.1.202,192.169.1.203
1640,Jala,192.168.243.194,192.168.243.201,192.168.243.202,192.168.243.203
1488,Eduardo Neri Xochipala,192.168.239.178,192.168.239.185,192.168.239.186,192.168.239.187
2196,Maria Zacatepec,192.168.244.130,192.168.244.137,192.168.244.138,192.168.244.139
1211,El Fuerte,192.168.252.18,192.168.252.25,192.168.252.26,192.168.252.27
2142,Tahmek,192.169.1.242,192.169.1.249,192.169.1.250,192.169.1.251
1370,Ensenada el Porvenir,192.168.231.98,192.168.231.105,192.168.231.106,192.168.231.107
2198,Jamiltepec Miramar,192.168.244.114,192.168.244.121,192.168.244.122,192.168.244.123
1371,Ensenada el Sauzal,192.168.231.114,192.168.231.121,192.168.231.122,192.168.231.123
1756,Saltillo SEDENA, 192.168.236.34,192.168.236.41,192.168.236.42,192.168.236.43
2230,Ciudad Axpaxtla,192.168.239.146,192.168.239.153,192.168.239.154,192.168.239.155
1365,La Huerta,192.168.241.162,192.168.241.169,192.168.241.170,192.168.241.171
1363,Chapala,192.168.241.210,192.168.241.217,192.168.241.218,192.168.241.219
1950,Seyé,192.169.2.2,192.169.2.9,192.1269.2.10,192.1269.2.11
1496,San Pedro Tapanatepec,192.168.248.18,192.168.248.25,192.168.248.26,192.168.248.27
1269,Punta Colonet,192.168.231.66,192.168.231.73,192.168.231.74,192.168.231.75
1793,Ajuchitlán del Progreso,192.168.240.2,192.168.240.9,192.168.240.10,192.168.240.11
1484,Tzimol,192.168.233.226,192.168.233.233,192.168.233.234,192.168.233.235
2147,Valladolid,192.169.1.178,192.169.1.185,192.169.1.186,192.169.1.187
1396,Jiquipilco SADER,192.168.229.178,192.168.229.185,192.168.229.186,192.168.229.187
1494,Venustiano Carranza,192.168.242.242,192.168.242.249,192.168.242.250,192.168.242.251
1961,Moyahua de Estrada,192.169.3.34,192.169.3.41,192.169.3.42,192.169.3.43
1803,Zapotitlan  Tablas,192.168.240.82,192.168.240.89,192.168.240.90,192.168.240.91
1168,Comala del Pedregal,192.168.236.82,192.168.236.89,192.168.236.90,192.168.236.91
1270,Mexicali Guadalupe Victoria,192.168.231.130,192.168.231.137,192.168.231.138,192.168.231.139
1879,Tepuxtepec,192.168.244.210,192.168.244.217,192.168.244.218,192.168.244.219
1649,Cosalapa,192.169.16.2,192.169.16.9,192.169.16.10,192.169.16.11
1212,Mazatlan,192.168.252.82,192.168.252.89,192.168.252.90,192.168.252.91
1650,Huajuapan la Merced,192.169.16.82,192.169.16.89,192.169.82.90,192.169.82.91
1581,Chahuites,192.169.15.178,192.168.15.185,192.169.15.186,192.169.15.187
1364,Cihuatlán,192.168.241.146,192.168.241.153,192.168.241.154,192.168.241.155
1460,Zacatepec San Nicolas,192.168.243.162,192.168.243.169,192.168.243.170,192.168.243.171
1565,Badiraguato,192.169.13.146,192.169.13.153,192.169.13.154,192.169.13.155
1277,Guadalupe Victoria,192.169.14.2,192.169.14.9,192.169.14.10,192.169.14.11
1272,Mexicali Nvo. León,192.168.231.146,192.168.231.153,192.168.231.154,192.168.231.155
1485,Morelos Diconsa,192.168.235.242,192.168.235.249,192.168.235.250,192.168.235.251
1231,Tierra Blanca,192.169.13.2,192.169.13.9,192.169.13.10,192.169.13.11
1167,Castaños,192.168.235.210,192.168.235.217,192.168.235.218,192.168.235.219
1457,El Limon,192.168.241.242,192.168.241.249,192.168.241.250,192.168.241.251
1229,Motzorongo,192.169.12.242,192.169.12.249,192.169.12.250,192.169.12.251
1823,Tungareo,192.169.19.178,192.169.19.185,192.169.19.186,192.169.19.187
1131,El Parral,192.168.227.146,192.168.227.153,192.168.227.154,192.168.227.155
1564,Cuautla Palmas,192.168.243.114,192.168.243.121,192.168.243.122,192.168.243.123
1924,Atoyac,192.169.18.210,192.169.18.217,192.169.18.218,192.169.18.219
1833,Chamilpa,192.168.243.130,192.168.243.137,192.168.243.138,192.168.243.139
1450,Ixtapa,192.168.240.50,192.168.240.57,192.168.240.58,192.168.240.59
1219,Frenillo,192.169.11.98,192.169.11.105,192.169.11.106,192.169.11.107
2202,San Miguel Zapotitlán,192.169.24.242,192.169.24.249,192.169.24.250,192.169.24.251
1374,Chilon ,192.168.233.82,192.168.233.89,192.168.233.90,192.168.233.91
1265,GUACHOCHI,192.168.229.66,192.168.229.73,192.168.229.74,192.168.229.75
1761,El Salto,192.169.22.82,192.169.22.89,192.169.22.90,192.169.22.91
1150,Etchojoa DICONSA,192.168.228.194,192.168.228.201,192.168.228.202,192.168.228.203
1620,Panuco Fco I Madero,192.169.16.242,192.169.16.249,192.169.16.250,192.169.16.251
1804,Atotonilco de Tula,192.169.15.242,192.169.15.249,192.169.15.250,192.169.15.251
1617,Catalan,192.169.15.146,192.169.15.153,192.169.15.154,192.169.15.155
1412,Nautica,192.169.12.18,192.169.12.25,192.169.12.26,192.169.12.27
2180,Peñon Blanco,192.169.24.210,192.169.24.217,192.169.24.218,192.169.24.219
1548,Álamos,192.169.9.226,192.169.9.233,192.169.9.234,192.169.9.235
1284,Higuera de Zaragoza,192.169.10.146,192.169.10.153,192.169.10.154,192.169.10.155
1235,Manzanillo SEMAR,192.168.236.98,192.168.236.105,192.168.236.106,192.168.236.107
1752,Aquiles Serdan,192.168.235.34,192.168.235.41,192.168.235.42,192.168.235.43
1326,Villa Emiliano Zapata,192.169.11.66,192.169.11.73,192.169.11.74,192.169.11.75
1429,Sayula,192.169.12.178,192.169.12.185,192.169.12.186,192.169.12.187
1262,Pericos,192.169.12.50,192.169.12.57,192.169.12.58,192.169.12.59
1869,Arrazola,192.169.23.2,192.169.23.9,192.169.23.10,192.169.23.11
1726,Chinitos,192.169.15.82,192.169.15.89,192.169.15.70,192.169.15.71
1972,Actopan Sn. Carlos,192.169.13.114,192.169.13.121,192.169.13.122,192.169.13.123
1836,Puente de Ixtla,192.168.243.98,192.168.243.105,192.168.243.106,192.168.243.107
2140,Panaba,192.169.2.18,192.169.2.25,192.169.2.26,192.169.2.27
2197,Pinotepa,192.169.24.226,192.169.24.233,192.169.24.234,192.169.24.235
1647,Putla,192.168.247.194,192.168.247.201,192.168.247.202,192.168.247.203
1601,Parral SEDENA,192.169.16.98,192.169.16.105,192.169.16.106,192.169.16.107
2229,Sierra Guadalupe y Calvo,192.168.234.210,192.168.234.217,192.168.234.218,192.168.234.219
1381,Madera,192.169.11.194,192.169.11.201,192.169.11.202,192.169.11.203
1170,Cerro de Ortega,192.168.236.114,192.168.236.121,192.169.236.122,192.169.236.123
1124,Ciudad Mier SEDENA,192.168.227.18,192.168.227.25,192.168.227.26,192.168.227.27
1637,Manuel Ojinaga ,192.169.16.210,192.169.16.217,192.169.16.218,192.169.16.219
1755,Santa Isabel Chihuahua,192.169.23.18,192.169.23.25,192.168.23.26,192.168.23.27
1557,Muzquiz,192.168.236.2,192.168.236.9,192.168.236.10,192.168.236.11
2357,Narciso Bassols,192.169.6.162,192.169.6.176,192.169.6.177,192.169.6.178
2067,Churumuco SADER,192.168.242.114,192.168.242.121,192.168.242.122,192.168.242.123
2371,Industrial Puerto Aéreo,192.169.9.66,192.169.9.80,192.169.9.81,192.169.9.82
1149,El Dotrado ISSSTE,192.168.228.178,192.168.228.185,192.168.228.186,192.168.228.187
2351,Coyoacan 3,192.169.5.162,192.169.5.176,192.169.5.177,192.169.5.178
2356,Zacatenco,192.169.6.130,192.169.6.144,192.169.6.145,192.169.6.146
2354,Roma Norte,192.169.6.2,192.169.6.16,192.169.6.17,192.169.6.18
1863,Mitla,192.169.22.226,192.169.22.233,192.169.22.234,192.169.22.235
1408,Queretaro ,192.168.251.18,192.168.251.25,192.168.251.26,192.168.251.27
1725,Los Mochis,192.169.10.34,192.169.10.41,192.169.10.42,192.169.10.43
1935,Las Trancas,192.169.20.2,192.169.20.9,192.169.20.10,192.169.20.11
1286,"2 de Abril, El Fuerte",192.169.11.50,192.169.11.57,192.169.11.58,192.169.11.59
1469,Alto Lucero,192.169.9.242,192.169.9.249,192.169.9.250,192.169.9.251
1821,Lombardia ,192.169.22.162,192.169.22.169,192.169.22.170,192.169.22.171
2372,Venustiano Carranza 2,192.169.9.98,192.169.9.112,192.169.9.113,192.169.9.114
1830,Angahuan,192.168.242.162,192.168.242.169,192.168.242.170,192.168.242.171
1434,Pozo de Gamboa IMSS,192.169.3.2,192.169.3.9,192.169.3.10,192.169.3.11
2353,Roma Sur,192.169.5.226,192.169.5.240,192.169.5.241,192.169.5.242
2355,Nueva Industrial Vallejo,192.169.6.98,192.169.6.112,192.169.6.113,192.169.6.114
2082,Numaran Michoacan,192.169.21.242,192.169.21.249,192.169.21.250,192.169.21.251
2358,Loma la Palma,192.169.6.194,192.169.6.208,192.169.6.209,192.169.6.210
2350,Canal Nacional,192.169.5.98,192.169.5.112,192.169.5.113,192.169.5.114
2281,Tlaltizapan de Zapata ,192.169.26.82,192.169.26.89,192.169.26.90,192.169.26.91
2277,Chinameca,192.169.26.34,192.169.26.41,192.169.26.42,192.169.26.43
2278,Coatetelco,192.169.26.50,192.169.26.57,192.169.26.58,192.169.26.59
1401,Coatlan del Rio,192.169.10.242,192.169.10.249,192.169.10.250,192.169.10.251
1704,Teotitlan,192.168.248.66,192.169.248.73,192.169.248.74,192.169.248.75
1606,San Francisco,192.169.17.82,192.169.17.89,192.169.17.90,192.169.17.91
1974,Emilio Carranza,192.169.16.66,192.169.16.73,192.169.16.74,192.169.16.75
2205,Leopoldo Sanchez,192.169.25.2,192.169.25.9,192.169.25.10,192.169.25.11
1753,Matachi,192.168.235.18,192.168.235.25,192.168.235.26,192.168.235.27
1448,Alatamirano,192.168.240.114,192.168.240.121,192.168.240.122,192.168.240.123
1816,Charapan,192.168.242.130,192.168.242.137,192.168.242.138,192.168.242.139
1985,Ocotzingo,192.168.234.114,192.168.234.121,192.168.234.122,192.168.234.123
1423,Socosnusco,192.169.12.194,192.169.12.201,192.169.12.202,192.169.12.203
1727,Adolfo Ruiz Cortinez,192.169.10.18,192.169.10.25,192.169.10.26,192.169.10.27
1419,Acula,192.169.10.114,192.169.10.121,192.169.10.122,192.169.10.123
2135,Cenotillo,192.169.2.82,192.169.2.89,192.169.2.90,192.169.2.91
1927,Cosoleacaque,192.169.19.210,192.169.19.217,192.169.19.218,192.169.19.219
1561,Ameca Jalisco,192.168.241.194,192.168.241.201,192.168.241.202,192.168.241.203
1655,Loma Bonita,192.169.15.18,192.169.15.25,192.169.15.26,192.169.15.27
1223,Sombrerete,192.169.12.210,192.169.12.217,192.169.12.218,192.169.12.219
1905,Mocorito,192.169.21.210,192.169.21.217,192.169.21.218,192.169.21.219
1827,Purepero,192.169.22.98,192.169.22.105,192.169.22.106,192.169.22.107
1730,San Pedro Navolato,192.169.16.194,192.169.16.201,192.169.16.202,192.169.16.203
2170,Teopisca,192.169.30.18,192.169.30.25,192.169.30.26,192.169.30.27
1625,Las Margaritas,192.169.27.98,192.169.27.105,192.169.27.106,192.169.27.107
1528,Chulolja Barrio Cancuc,192.168.234.2,192.168.234.9,192.168.234.10,192.168.234.11
2161,Ixtapa Chiapas,192.169.29.242,192.169.29.249,192.169.29.250,192.169.29.251
1521,Goroztiza Centro,192.169.10.210,192.169.10.217,192.169.10.218,192.169.10.219
2063,Aporo,192.168.242.146,192.168.242.153,192.168.242.154,192.168.242.155
2043,Alcozahuaca de Guerrero,192.168.239.242,192.168.239.249,192.169.239.250,192.169.239.251
1757,Torreon  Sedena ,192.169.24.2,192.169.24.9,192.169.24.10,192.169.24.11
1986,"San Buena Aventura, SEGALMEX",192.169.15.114,192.169.15.121,192.169.15.122,192.169.15.123
1222,Rio Grande Sedena,192.169.12.114,192.169.12.121,192.169.12.122,192.169.12.123
1956,Nieves ,192.169.20.34,192.169.20.41,192.169.20.42,192.169.20.43
2378,Ajusco,192.169.5.66,192.169.5.80,192.169.5.81,192.169.5.82
2638,Villa Olimpica ,192.169.39.226,192.169.39.233,192.169.39.234,192.169.39.235
2380,San Juan de Aragon,192.169.6.34,192.169.6.48,192.169.6.49,192.169.6.50
2381,Magdalena de las Salinas ,192.169.6.66,192.196.6.80,192.196.6.81,192.196.6.82
1590,Cuarteles,192.169.15.210,192.169.15.217,192.169.15.218,192.169.15.219
2495,Paticajo,192.169.32.242,192.169.32.249,192.169.32.250,192.169.32.251
2150,Plateros SEDENA,192.169.20.50,192.169.20.57,192.169.20.58,192.169.20.59
2305,Las Parras,192.169.34.2,192.169.34.9,192.169.34.10,192.169.34.11
1616,Zaragoza ,192.169.18.130,192.169.18.137,192.169.18.138,192.169.18.139
2373,Vicam,192.169.26.18,192.169.26.25,192.169.26.26,192.169.26.27
1906,Hermosillo GN,192.169.20.114,192.169.20.121,192.169.20.122,192.169.20.123
2310,Bacobampo,192.169.34.178,192.169.34.185,192.169.34.186,192.169.34.187
2312,Villa Benito Juarez ,192.169.34.130,192.169.34.137,192.169.34.138,192.169.34.139
1613,Frontera las Palmas,192.169.27.114,192.169.27.121,192.169.27.122,192.169.27.123
2113,Cajeme C..D. Obregon ,192.169.29.50,192.169.29.57,192.169.29.58,192.169.29.59
2266,San Ignacio Rio Muerto ,192.169.33.82,192.169.33.89,192.169.33.90,192.169.33.91
2201,Topolobampo,192.169.30.210,192.169.30.217,192.169.30.218,192.169.30.219
2207,Guasave ,192.169.30.226,192.169.30.233,192.169.30.234,192.169.30.235
2379,Del Carmen Coyoacan ,192.169.5.130,192.169.5.144,192.169.5.145,192.169.5.146
1572,Villa Ahumada ,192.169.15.34,192.169.15.41,192.169.15.42,192.169.15.43
1745,Asientos Aguascalientes ,192.169.26.242,192.169.26.249,192.169.26.250,192.169.26.251
1892,Texmelucan,192.168.248.242,192.168.248.249,192.168.248.250,192.168.248.251
2394,Tomelopez ,192.169.31.146,192.169.31.153,192.169.31.154,192.169.31.155
2469,Namiquipa,192.169.32.210,192.169.32.217,192.169.32.218,192.169.32.219
1188,Tuxpan ,192.168.230.146,192.168.230.153,192.168.230.154,192.168.230.155
1907,Ures,192.169.24.82,192.169.24.89,192.169.24.90,192.169.24.91
1744,Ojo Caliente ,192.169.26.226,192.169.26.233,192.169.26.234,192.169.26.235
1888,Huejotzingo Xalmimilulco,192.169.26.146,192.169.26.153,192.169.26.154,192.169.26.155
2475,Mochicahui,192.169.38.114,192.169.38.121,192.169.38.122,192.169.38.123
